Publish Date,deliver Date,return ,Book Name,Author Name,Raitng,Price
" Paperback – March 7, 2017 ",delivery date not founded," Returnable until Jan 31, 2023 ", The Last Days of Magic: A Novel ,Author Not found,317,17
" Hardcover – September 20, 2022 ",delivery date not founded," Returnable until Jan 31, 2023 ", NOT A MOMENT TO LOSE: A MODERN SEA STORY FOR THE AGES A NOVEL ,Author Not found,1,24.99
" Paperback – December 7, 2021 ",delivery date not founded," Returnable until Jan 31, 2023 ", The Ambulance Chaser ,Brian Cuban,435,12.29
" Paperback – February 16, 2016 ",delivery date not founded," Returnable until Jan 31, 2023 ", Suffer Asylum - A Horror Story by Jack Carl Stanley ,Author Not found,39,7.39
" Paperback – September 30, 2019 ",delivery date not founded," Returnable until Jan 31, 2023 ", The Beach House (South Carolina Sunsets) ,Rachel Hanna,"21,110",11.99
" Paperback – April 15, 2019 ",delivery date not founded," Returnable until Jan 31, 2023 ", The Trusted (The Trusted Thriller Series) ,Michelle Medhat,277,12.99
" Paperback – October 26, 2021 ",delivery date not founded," Returnable until Jan 31, 2023 ", Ski Weekend: A Novel ,Rektok Ross,498,13.99
" Paperback – March 20, 2014 ",delivery date not founded," Returnable until Jan 31, 2023 ", Foreign Deceit (David Wolf Mystery Thriller Series) ,Jeff Carson,"9,821",11.58
" Paperback – December 1, 2018 ",delivery date not founded," Returnable until Jan 31, 2023 ", Coming Attractions ,Mark R. Hunter,13,6.99
" Paperback – December 29, 2019 ",delivery date not founded," Returnable until Jan 31, 2023 ", Escape to Exile (Stonecroft Saga) ,B.N. Rundell,"1,530",10.99
" Paperback – Large Print, November 5, 2017 ",delivery date not founded," Returnable until Jan 31, 2023 ", Sweet Beginnings: A Candle Beach Novel ,Nicole Ellis,"5,732",18.99
" Paperback – August 16, 2018 ",delivery date not founded," Returnable until Jan 31, 2023 ", Trouble in Bayou Sabine: A Bayou Sabine Novel ,Lauren Faulkenberry,168,14.99
" Paperback – February 17, 2015 ",delivery date not founded," Returnable until Jan 31, 2023 ", The Deep End ,Julie Mulhern,"3,340",15.95
" Paperback – May 12, 2020 ",delivery date not founded," Returnable until Jan 31, 2023 ", The Inn At Seagrove (South Carolina Sunsets) ,Rachel Hanna,"8,557",11.99
" Paperback – October 29, 2020 ",delivery date not founded," Returnable until Jan 31, 2023 ", The Assassin's Betrayal: CIA Assassin ,Auston King,"2,515",17.99
" Paperback – January 30, 2020 ",delivery date not founded," Returnable until Jan 31, 2023 ", Fireflies & Family Ties (South Carolina Sunsets) ,Rachel Hanna,"9,411",11.99
" Paperback – November 1, 2020 ",delivery date not founded," Returnable until Jan 31, 2023 ", The Haunting of Brynn Wilder: A Novel ,Wendy Webb,"21,198",6.95
